ID_Cachorro,Nombre,Dias,Raza,Reservado,Genero
1,Colmillo,91,Bulldog,NO,H
2,Spunky,87,Collie,NO,H
3,Pluto,47,Salchicha,NO,H
4,Max,70,Collie,SI,H
5,Milo,70,Pequines,SI,H
6,Reina,16,Beagle,SI,M
7,Buster,44,Caniche,SI,H
8,Scooby,27,Bulldog,SI,H
9,Spunky,13,Beagle,SI,H
10,Firulais,95,Callejero,NO,H
11,Peggy,40,Pequines,SI,M
12,Beethoven,1,Caniche,NO,H
13,Scooby,55,Labrador,NO,H
14,Einstein,2,Callejero,NO,H
15,Boby,30,Bulldog,SI,H
16,Beethoven,61,Bulldog,SI,H
17,Pluto,10,Callejero,NO,H
18,Spunky,18,Collie,NO,H
19,Lassie,31,Dogo,SI,M
20,Colmillo,25,Dogo,NO,H
21,Benji,97,Salchicha,SI,H
22,Reina,93,Boxer,NO,M
23,Benji,11,Collie,NO,H
24,Milo,74,Caniche,SI,H
25,Max,69,Dogo,NO,H
26,Beethoven,17,Salchicha,NO,H
27,Buster,54,Boxer,NO,H
28,Charlie,15,Caniche,SI,H
29,Peggy,52,Callejero,NO,M
30,Snoopy,57,Beagle,SI,H
31,Benji,54,Dogo,NO,H
32,Pluto,77,Labrador,SI,H
33,Buster,19,Pequines,NO,H
34,Bonnie,84,Pequines,SI,M
35,Charlie,37,Dogo,SI,H
36,Charlie,53,Boxer,SI,H
37,Scooby,10,Callejero,NO,H
38,Beethoven,4,Caniche,NO,H
39,Bonnie,93,Collie,NO,M
40,Einstein,31,Labrador,NO,H
41,Benji,4,Dogo,SI,H
42,Firulais,59,Boxer,NO,H
43,Buster,11,Callejero,NO,H
44,Benji,99,Beagle,NO,H
45,Lassie,61,Caniche,SI,M
46,Lassie,3,Pequines,NO,M
47,Scooby,35,Salchicha,NO,H
48,Buster,30,Dogo,NO,H
49,Colmillo,2,Callejero,NO,H
50,Buster,3,Beagle,NO,H
51,Max,16,Salchicha,NO,H
52,Einstein,96,Callejero,NO,H
53,Einstein,72,Callejero,SI,H
54,Buster,15,Labrador,NO,H
55,Max,43,Boxer,NO,H
56,Reina,78,Boxer,NO,M
57,Reina,85,Collie,SI,M
58,Scooby,51,Collie,SI,H
59,Colmillo,14,Dogo,NO,H
60,Milo,12,Caniche,NO,H
61,Firulais,8,Callejero,SI,H
62,Colmillo,26,Dogo,SI,H
63,Benji,59,Collie,NO,H
64,Milo,20,Caniche,SI,H
65,Milo,32,Bulldog,NO,H
66,Reina,79,Collie,SI,M
67,Charlie,52,Labrador,NO,H
68,Pluto,50,Bulldog,NO,H
69,Spunky,86,Bulldog,NO,H
70,Firulais,47,Labrador,SI,H
71,Spunky,61,Callejero,SI,H
72,Snoopy,36,Salchicha,NO,H
73,Pluto,44,Boxer,NO,H
74,Charlie,17,Pequines,SI,H
75,Max,21,Salchicha,NO,H
76,Boby,36,Boxer,NO,H
77,Lassie,62,Caniche,SI,M
78,Bonnie,36,Salchicha,SI,M
79,Max,65,Beagle,SI,H
80,Charlie,5,Callejero,NO,H
81,Reina,83,Dogo,NO,M
82,Charlie,72,Bulldog,NO,H
83,Lassie,31,Dogo,SI,M
84,Charlie,78,Salchicha,SI,H
85,Charlie,26,Dogo,SI,H
86,Snoopy,8,Bulldog,NO,H
87,Colmillo,13,Callejero,SI,H
88,Colmillo,90,Pequines,SI,H
89,Charlie,4,Dogo,NO,H
90,Buster,93,Salchicha,NO,H
91,Einstein,8,Callejero,SI,H
92,Einstein,1,Salchicha,SI,H
93,Max,81,Beagle,SI,H
94,Milo,95,Bulldog,SI,H
95,Benji,70,Boxer,SI,H
96,Max,53,Boxer,NO,H
97,Beethoven,79,Caniche,SI,H
98,Reina,78,Beagle,SI,M
99,Peggy,98,Callejero,NO,M
100,Buster,6,Pequines,SI,H
