id,tipo,cantidad,importe
1,REGULAR,44,706.45
2,PLUS,78,645.54
3,PLUS,10,572.18
4,REGULAR,32,895.76
5,GOLD,92,267.4
6,REGULAR,73,825.47
7,GOLD,52,114.13
8,GOLD,79,971.28
9,GOLD,80,594.34
10,GOLD,95,693.78
11,REGULAR,73,116.44
12,REGULAR,29,120.14
13,REGULAR,17,198.1
14,GOLD,71,199.33
15,GOLD,50,842.7
16,GOLD,41,936.53
17,REGULAR,6,332.51
18,GOLD,33,196.87
19,PLUS,71,655.28
20,GOLD,28,788.38
21,GOLD,87,446.98
22,GOLD,9,483.5
23,GOLD,55,953.33
24,PLUS,37,893.27
25,GOLD,62,463.67
26,PLUS,41,645.27
27,REGULAR,64,963.28
28,GOLD,15,872.69
29,GOLD,19,457.2
30,GOLD,96,208.5
31,PLUS,39,468.63
32,GOLD,2,106.21
33,PLUS,77,148.09
34,REGULAR,98,155.71
35,PLUS,64,656.66
36,PLUS,11,947.72
37,REGULAR,37,344.25
38,PLUS,72,531.28
39,PLUS,33,378.27
40,GOLD,56,869.33
41,PLUS,7,275.15
42,GOLD,25,148.1
43,GOLD,14,958.24
44,REGULAR,37,986.67
45,GOLD,8,998.86
46,GOLD,5,799.75
47,GOLD,12,756.7
48,PLUS,100,931.37
49,PLUS,59,363.02
50,PLUS,37,583.71
51,GOLD,81,315.96
52,GOLD,68,919.28
53,PLUS,72,144.86
54,GOLD,76,286.27
55,GOLD,33,469.0
56,GOLD,57,916.68
57,GOLD,21,489.55
58,PLUS,66,328.2
59,GOLD,37,685.74
60,GOLD,93,187.6
61,GOLD,29,871.55
62,GOLD,75,324.36
63,REGULAR,4,408.6
64,REGULAR,39,949.4
65,PLUS,92,349.67
66,REGULAR,14,263.0
67,REGULAR,83,645.77
68,GOLD,14,140.54
69,GOLD,44,402.03
70,PLUS,69,359.9
71,REGULAR,49,506.09
72,GOLD,6,825.66
73,REGULAR,42,630.19
74,GOLD,56,990.61
75,PLUS,54,570.82
76,REGULAR,29,576.62
77,REGULAR,38,936.85
78,PLUS,91,721.88
79,PLUS,33,989.74
80,PLUS,79,140.06
81,REGULAR,66,815.66
82,GOLD,9,747.82
83,REGULAR,1,436.5
84,GOLD,67,522.41
85,REGULAR,9,487.57
86,GOLD,4,822.97
87,GOLD,52,877.22
88,GOLD,92,713.6
89,PLUS,66,571.72
90,PLUS,51,122.21
91,REGULAR,76,589.85
92,GOLD,10,206.74
93,PLUS,73,144.77
94,GOLD,73,649.74
95,GOLD,32,154.13
96,PLUS,46,173.09
97,GOLD,11,443.92
98,GOLD,76,472.33
99,GOLD,14,504.65
100,REGULAR,56,592.77
101,GOLD,64,962.09
102,GOLD,38,538.03
103,REGULAR,51,747.65
104,GOLD,90,891.78
105,GOLD,63,915.54
106,REGULAR,97,117.95
107,PLUS,46,461.42
108,PLUS,49,631.33
109,REGULAR,42,966.1
110,GOLD,5,402.81
111,GOLD,46,757.74
112,GOLD,27,542.68
113,GOLD,77,803.89
114,GOLD,78,296.04
115,REGULAR,85,675.45
116,GOLD,49,227.78
117,REGULAR,53,463.6
118,GOLD,91,341.22
119,PLUS,65,455.82
120,REGULAR,30,398.74
121,REGULAR,65,656.68
122,GOLD,22,367.14
123,PLUS,23,663.83
124,REGULAR,26,839.85
125,GOLD,8,504.1
126,PLUS,39,790.43
127,GOLD,88,960.1
128,REGULAR,71,836.72
129,PLUS,47,995.93
130,GOLD,11,328.51
131,REGULAR,82,616.56
132,REGULAR,17,794.59
133,REGULAR,63,720.48
134,REGULAR,18,509.91
135,GOLD,2,759.94
136,PLUS,99,139.22
137,REGULAR,43,143.47
138,PLUS,22,563.54
139,REGULAR,51,782.29
140,PLUS,18,764.46
141,PLUS,64,174.51
142,GOLD,81,920.59
143,REGULAR,15,351.38
144,REGULAR,3,266.84
145,REGULAR,73,284.89
146,GOLD,48,120.95
147,GOLD,53,749.99
148,PLUS,49,277.46
149,REGULAR,85,201.1
150,GOLD,59,859.41
151,PLUS,42,354.11
152,REGULAR,5,291.27
153,PLUS,86,931.24
154,REGULAR,86,846.05
155,PLUS,5,453.49
156,GOLD,83,850.15
157,GOLD,62,223.0
158,REGULAR,84,438.08
159,GOLD,100,686.05
160,REGULAR,8,238.25
161,GOLD,6,605.22
162,PLUS,97,604.53
163,GOLD,9,279.51
164,GOLD,93,729.99
165,GOLD,56,364.96
166,REGULAR,60,499.3
167,REGULAR,78,776.52
168,REGULAR,12,413.43
169,REGULAR,12,848.0
170,PLUS,30,362.44
171,REGULAR,97,921.07
172,REGULAR,79,498.36
173,GOLD,95,197.87
174,PLUS,2,680.23
175,REGULAR,36,642.67
176,PLUS,54,987.81
177,PLUS,14,233.86
178,GOLD,38,337.51
179,PLUS,33,419.76
180,GOLD,37,490.13
181,GOLD,5,430.8
182,REGULAR,13,771.04
183,REGULAR,6,539.78
184,GOLD,24,850.36
185,PLUS,86,331.41
186,GOLD,21,464.11
187,PLUS,26,268.13
188,REGULAR,47,624.42
189,GOLD,88,379.48
190,GOLD,34,921.73
191,PLUS,38,115.49
192,GOLD,23,913.38
193,PLUS,77,651.01
194,REGULAR,83,635.39
195,GOLD,48,319.07
196,GOLD,12,112.83
197,REGULAR,7,173.04
198,REGULAR,34,475.99
199,PLUS,9,892.42
200,REGULAR,78,619.62
201,PLUS,95,275.91
202,REGULAR,19,735.98
203,REGULAR,87,223.09
204,PLUS,69,953.36
205,PLUS,16,406.34
206,PLUS,86,121.81
207,REGULAR,91,659.14
208,PLUS,53,618.99
209,GOLD,82,122.7
210,REGULAR,66,238.13
211,PLUS,17,346.23
212,PLUS,59,405.5
213,REGULAR,47,973.14
214,REGULAR,75,541.72
215,PLUS,94,969.15
216,GOLD,5,415.37
217,PLUS,32,968.67
218,PLUS,11,973.74
219,GOLD,39,126.48
220,REGULAR,100,466.75
221,PLUS,66,538.22
222,PLUS,97,277.29
223,GOLD,77,492.79
224,PLUS,62,810.66
225,PLUS,65,690.11
226,REGULAR,46,861.97
227,REGULAR,19,874.97
228,PLUS,39,511.93
229,PLUS,35,251.07
230,REGULAR,12,471.36
231,REGULAR,2,975.16
232,REGULAR,29,417.36
233,REGULAR,63,347.84
234,REGULAR,20,319.44
235,REGULAR,40,760.54
236,PLUS,8,106.61
237,REGULAR,52,893.61
238,GOLD,25,116.76
239,REGULAR,91,976.57
240,GOLD,22,538.95
241,REGULAR,39,160.64
242,REGULAR,82,837.86
243,REGULAR,31,800.39
244,GOLD,56,181.09
245,REGULAR,66,575.79
246,REGULAR,92,828.48
247,PLUS,35,494.42
248,GOLD,10,776.01
249,GOLD,10,520.25
250,PLUS,15,481.31
251,PLUS,62,975.99
252,GOLD,17,382.79
253,PLUS,84,139.18
254,PLUS,63,829.2
255,PLUS,42,387.76
256,PLUS,61,795.64
257,PLUS,8,795.71
258,GOLD,97,721.73
259,REGULAR,94,185.3
260,PLUS,71,271.71
261,PLUS,2,290.1
262,REGULAR,88,898.04
263,PLUS,66,788.28
264,PLUS,29,706.36
265,GOLD,10,633.84
266,PLUS,2,977.6
267,PLUS,32,720.64
268,GOLD,98,940.94
269,GOLD,85,142.04
270,GOLD,50,744.3
271,GOLD,6,179.61
272,GOLD,8,153.18
273,REGULAR,97,419.09
274,GOLD,97,954.05
275,GOLD,10,375.49
276,REGULAR,98,878.3
277,PLUS,62,485.92
278,PLUS,74,496.5
279,PLUS,43,438.23
280,GOLD,19,714.29
281,GOLD,21,667.5
282,PLUS,10,441.1
283,PLUS,85,236.88
284,REGULAR,97,231.27
285,GOLD,44,403.62
286,REGULAR,55,825.81
287,PLUS,87,559.07
288,GOLD,1,908.31
289,PLUS,31,659.47
290,PLUS,5,691.3
291,GOLD,47,932.79
292,REGULAR,94,945.23
293,REGULAR,52,225.0
294,PLUS,24,192.04
295,GOLD,72,393.69
296,REGULAR,7,295.83
297,PLUS,56,124.11
298,GOLD,95,458.93
299,REGULAR,57,542.27
300,PLUS,95,504.99
301,PLUS,23,896.16
302,GOLD,57,243.23
303,REGULAR,90,756.67
304,GOLD,51,587.48
305,REGULAR,21,965.53
306,REGULAR,37,197.67
307,PLUS,91,705.92
308,GOLD,78,177.63
309,GOLD,65,379.92
310,REGULAR,39,442.46
311,REGULAR,74,396.06
312,PLUS,95,334.1
313,GOLD,98,430.25
314,PLUS,61,601.44
315,REGULAR,48,122.33
316,REGULAR,82,448.88
317,GOLD,4,347.57
318,REGULAR,12,493.42
319,REGULAR,99,271.9
320,REGULAR,31,927.93
321,REGULAR,25,492.96
322,GOLD,75,165.71
323,PLUS,53,632.64
324,GOLD,8,308.09
