ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado
1,28/03/2019,31776,1,SI
2,16/11/2018,48020,4,NO
3,29/12/2018,20421,1,SI
4,31/05/2019,48953,4,SI
5,06/04/2019,28237,4,NO
6,12/08/2018,34765,3,SI
7,15/03/2019,16669,3,SI
8,09/04/2019,14300,1,SI
9,05/05/2019,27526,1,NO
10,07/06/2019,41078,1,SI
11,23/10/2018,44941,4,NO
12,21/10/2018,9357,3,NO
13,19/09/2018,9505,2,SI
14,03/09/2018,28692,1,SI
15,07/04/2019,46369,4,NO
16,09/12/2018,41225,5,NO
17,07/03/2019,32370,1,NO
18,15/08/2018,48660,3,NO
19,28/08/2018,24935,3,NO
20,12/07/2018,27512,5,NO
21,23/09/2018,4087,3,NO
22,25/05/2019,13144,5,SI
23,29/01/2019,15883,1,SI
24,10/10/2018,27653,1,NO
25,18/02/2019,15586,3,NO
26,20/10/2018,13267,2,SI
27,07/01/2019,13758,4,SI
28,02/11/2018,7036,5,SI
29,02/12/2018,8521,5,NO
30,23/05/2019,43998,5,NO
31,13/11/2018,3594,5,NO
32,06/10/2018,43698,5,SI
33,11/02/2019,17552,5,NO
34,04/10/2018,12868,2,NO
35,27/09/2018,35360,3,NO
36,06/07/2019,31082,1,SI
37,22/08/2018,38936,4,SI
38,02/07/2019,10064,4,NO
39,21/02/2019,42771,2,NO
40,06/04/2019,36913,2,NO
41,11/12/2018,27732,1,SI
42,28/11/2018,30044,5,SI
43,19/03/2019,24788,2,NO
44,08/08/2018,13291,3,SI
45,15/09/2018,32366,5,SI
46,22/10/2018,35301,5,NO
47,15/04/2019,12171,4,NO
48,09/10/2018,26918,5,SI
49,08/01/2019,9340,5,NO
50,24/10/2018,4649,3,SI
51,11/02/2019,21311,5,SI
52,16/05/2019,4737,5,NO
53,20/06/2019,45469,3,SI
54,07/08/2018,9386,5,NO
55,06/11/2018,37789,5,NO
56,20/12/2018,41093,2,SI
57,25/12/2018,19872,3,NO
58,13/06/2019,46668,5,NO
59,29/03/2019,30890,3,SI
60,11/08/2018,8487,5,NO
61,18/02/2019,49227,2,NO
62,22/09/2018,28777,3,SI
63,25/01/2019,7145,3,NO
64,10/08/2018,7676,1,SI
65,17/11/2018,40044,5,NO
66,22/10/2018,20436,4,SI
67,02/09/2018,42604,4,SI
68,16/11/2018,13305,5,SI
69,30/06/2019,44597,3,SI
70,19/08/2018,45637,1,SI
71,23/11/2018,19731,2,NO
72,25/10/2018,48374,3,NO
73,15/09/2018,47141,5,NO
74,06/02/2019,8576,3,SI
75,13/09/2018,32223,2,NO
76,04/03/2019,43797,4,NO
77,05/11/2018,38704,5,NO
78,14/01/2019,17137,2,NO
79,24/05/2019,42030,3,NO
80,18/05/2019,30722,3,SI
81,05/10/2018,21244,4,NO
82,06/10/2018,44749,2,SI
83,13/04/2019,7476,3,SI
84,21/01/2019,17182,3,SI
85,26/08/2018,29594,1,SI
86,18/01/2019,8223,4,SI
87,08/05/2019,21823,1,NO
88,02/03/2019,37585,1,NO
89,11/04/2019,20884,1,SI
90,12/03/2019,22904,4,NO
91,21/05/2019,18346,1,NO
92,27/02/2019,22342,5,SI
93,29/05/2019,24280,5,NO
94,30/05/2019,11187,1,NO
95,04/02/2019,29734,1,SI
96,02/09/2018,45692,4,SI
97,03/12/2018,8945,5,SI
98,11/09/2018,20532,2,SI
99,18/01/2019,41007,1,SI
100,29/10/2018,35804,2,NO
101,17/09/2018,4914,4,SI
102,10/02/2019,17024,3,SI
103,10/02/2019,20706,1,NO
104,08/11/2018,15800,1,SI
105,24/02/2019,3546,3,NO
106,18/07/2018,40547,1,SI
107,16/01/2019,24955,4,NO
108,17/11/2018,44676,2,NO
109,27/08/2018,7433,3,NO
110,11/02/2019,19180,5,SI
111,16/01/2019,42685,4,SI
112,27/11/2018,23391,3,SI
113,04/10/2018,4974,1,SI
114,27/08/2018,24697,4,SI
